Date/Time,Word Count,de,de-DE,en,fr,hu,ko,ru
2024.10.13-12.15.20,13,0,0,13,0,0,0,0
2024.10.13-12.26.13,78,0,0,78,0,0,0,0
2024.10.13-13.53.50,107,0,0,107,0,0,0,0
2024.10.23-08.23.35,474,0,0,474,0,0,0,0
2024.10.23-08.28.49,475,0,0,475,0,0,0,0
2024.10.23-08.33.13,485,0,0,485,0,0,0,0
2024.10.23-10.43.07,485,0,485,485,0,0,0,0
2024.10.23-10.49.16,485,485,0,485,0,0,0,0
2024.10.25-08.34.18,485,485,0,485,0,485,485,0
2024.10.25-17.57.46,513,483,0,513,0,483,483,0
2024.10.25-18.13.27,541,483,0,541,0,511,483,0
2024.10.25-18.16.38,543,483,0,543,0,513,483,0
2024.10.25-18.25.57,543,543,0,543,0,543,483,0
2024.10.25-18.38.06,543,543,0,543,0,543,543,0
2024.10.25-18.56.55,545,541,0,545,0,541,541,0
2024.10.25-19.00.27,545,545,0,545,0,545,545,0
2024.10.28-07.10.37,547,545,0,547,0,545,545,0
2024.10.28-07.19.59,545,543,0,545,0,543,543,0
2024.10.28-07.26.38,545,543,0,545,0,543,543,545
2024.10.31-18.10.57,540,538,0,540,0,538,538,540
2024.12.01-11.06.02,572,538,0,572,540,538,538,540
2024.12.01-11.07.17,573,538,0,573,540,538,538,540
2024.12.01-11.11.49,573,538,0,573,540,573,538,540
